,question,answer,error_type
65,"Dan owns an ice cream shop and every sixth customer gets a free ice cream cone. Cones cost $2 each. If he sold $100 worth of cones, how many free ones did he give away?","He sold 50 cones because 100 / 2 = 50
He gave away 10 cones because 50 / 5 = 10
 10",None of the above
66,"A quantity surveyor is figuring the construction costs for a couple that wishes to build a house. The costs are as follows: land costs $50 per square meter, bricks cost $100 per 1000 bricks and roof tiles cost $10 per roof tile. If the house they wish to build requires 2000 square meters, 10000 bricks, and 500 roof tiles, how much construction costs are required for this project?","The cost required for buying land is $50/sq m * 2000 sq m = $100000.
The cost required for buying bricks is $100/1000 bricks * 10000 bricks = $1000.
The cost required for buying roof tiles is $10/tile * 500 tiles = $5000.
The total construction cost is $100000 + $1000 + $5000 = $106000.
 106000",Missing / Wrong factual knowledge
67,"Susan is picking strawberries. She's trying to fill her basket, but out of every handful of 5 strawberries she can't help but eat one of them herself. If her basket holds 60 strawberries, how many berries will she actually pick before she fills it?","Out of every 5 berries, she eats 1, so only 5 strawberries - 1 strawberry = 4 strawberries go into the basket for each handful.
The basket holds 60 strawberries, so it will take 60 strawberries / 4 strawberries per handful = 15 handfuls to fill the basket.
So in total, Susan will pick 60 strawberries + 15 handfuls * 1 strawberry eaten per handful = 75 strawberries.
 75",Calculation error easily solved by a calculator
68,"Mrs. Lopez and her family are going to the movie theatre.  Adult tickets are $11.  Children’s tickets (ages 3-12) are $8.  Senior citizen’s tickets (ages 60+) are $9.  Mrs. Lopez needs to buy movie tickets for her husband, herself, her parents (ages 72 and 75), and her three children (ages 7, 10, 14).  How much money does she need to buy everyone’s tickets?","Mrs. Lopez needs to buy two adult tickets for $11 x 2 = $22.
She needs to buy two senior citizen tickets for $9 x 2 = $18.
She needs to buy three children’s tickets for $8 x 3 = $24.
For everyone’s tickets, Mrs. Lopez needs to spend $22 + $18 + $24 = $64 for seven tickets.
 64",Extra quantity or Missing quantity
69,"The sum of the three angles of a triangle equals 250. The left angle is twice the right angle's value, and the right angle is 60 degrees. Find the value of the top angle?","Since the left angle is twice the value of the right angle, the left angle is 60*2 = 120 degrees.
The total value of the left and right angles is 120+60 = 180 degrees.
Since the sum of the three angles is equal to 250, the other angle has a value of 250-180 = 70 degrees.
 70",Misunderstanding of a question
70,"The school decided to add 20% to the gym budget. In a normal month, they could buy 15 dodgeballs for $5 each if they spent the entire budget on that. If they only buy softballs instead, which cost $9 each, how many can they buy with the new budget?","The old budget was $75 because 15 x 5 = 75
They are adding $15 to the budget because 75 x .2 = 15
The new budget is $90 because 75 + 15 = 90
They can buy 10 softballs on the new budget because 90 / 9 = 10
 10",Misunderstanding of a question
71,"Hanna has twice as many erasers as Rachel.  Rachel has three less than one-half as many erasers as Tanya has red erasers.  If Tanya has 20 erasers, and half of them are red, how many erasers does Hanna have?","Half of Tanya's 20 erasers are red, so she has 20/2=10 red erasers.
One-half as many erasers as Tanya has red erasers is 10/2=5 red erasers.
Rachel's three less than one-half as many erasers as Tanya's red erasers, which is 5-3=2 erasers.
Hanna has twice as many erasers as Rachel, for a total of 2*2=4 erasers.
 4",Misunderstanding of a question
72,"Hector purchased a container of gumballs.  He gave 4 to Todd, then he gave twice as many as he had given Todd to Alisha, and then he gave 5 less than four times as many to Bobby as he had given to Alisha.  If Hector had 6 gumballs remaining, what is the total number of gumballs that Hector purchased?","Hector gave to Alisha twice as many as he had given Todd, for a total of 4*2=8 gumballs,
Hector gave 5 less than four times as many to Bobby as he had given to Alisha, or a total of (8*4)-5=27 gumballs.
If Hector had 6 gumballs remaining, he originally purchased 4+8+27+6=45 gumballs.
 45",Misunderstanding of a question
73,Queenie earns $150 a day as a part-time clerk. She earns an additional $5 per hour as overtime pay. How much will Queenie receive for working 5 days with 4 hours overtime?,"Queenie will earn $150 x 5 = $750 for working 5 days.
She will receive an additional $5 x 4 = $20 for overtime pay.
Hence, Queenie will receive a total of $750 + $20 = $770.
 770",Extra quantity or Missing quantity
74,"There were 200 students on a field playing football. Suddenly a military plane flew by, and 3/4 of the students looked up. How many eyes saw the airplane?","If there were 200 students on the field and 3/4 of the students looked up at the flying plane, 3/4*200 = 150 students saw the plane.
Since each student has two eyes, the number of eyes that looked at the plane is 2*150 = 300 years.
 300",Extra quantity or Missing quantity
75,"Carmen is preparing dinner plates for a row of customers at the counter in a diner. She likes to put a couple of sprigs of parsley on each plate for decoration. However, she is very low on parsley and doesn't have enough to even put 1 sprig on every plate, so she needs to break several of the parsley sprigs in two to make 2 smaller ones to stretch them out. If she decorates 8 plates with one whole parsley sprig and 12 plates with 1/2 a sprig each, how many sprigs of parsley does she have left if she started with 25?","Carmen decorates 8 plates with 1 whole sprig of parsley, 8 plates x 1 parsley sprig each = 8 parsley sprigs.
She also decorates 12 plates with 1/2 a sprig each, 12 x 1/2 = 6 parsley sprigs.
She started with 25 parsley sprigs and has used 8 + 6 = 14 parsley sprigs.
After using 14 parsley sprigs, she has 25 - 14 = 11 sprigs left.
 11",Extra quantity or Missing quantity
76,"In a parking lot, there are cars and motorcycles.  Each car has 5 wheels (including one spare) and each motorcycle has 2 wheels. There are 19 cars in the parking lot. Altogether all vehicles have 117 wheels. How many motorcycles are at the parking lot?","There are 19 cars at the lot, so there are 5 * 19 = 95 wheels of cars.
So there are 117 - 95 = 22 wheels of motorcycles in the parking lot.
Each motorcycle has 2 wheels, so that leaves us with 22 / 2 = 11 motorcycles in the parking lot.
 11",Misunderstanding of a question
77,"Mr. Zubir bought a pair of pants, a shirt, and a coat. The pair of pants and shirt costs $100. The pants and coat cost $244. The coat costs 5 times as much as the shirt. How much did Mr. Zubir pay for his coat?","Let X be the coat's price. The shirt's price is X/5. The pants and the shirt cost $100, so the pants price is $100 - X/5.
The pants and coat costs ($100 - X/5) + X = $244.
Combining like terms and subtracting $100 from both sides, we get 4/5*X = $144.
Dividing both sides by 4/5, we get X = $180.
 180",Calculation error easily solved by a calculator
78,Ron is part of a book club that allows each member to take a turn picking a new book every week. The club is made up of three couples and five single people along with Ron and his wife. How many times a year does Ron get to pick a new book?,"There are 3 couples in the club, so there are 3 * 2 = 6 people in couples in the club.
Along with the singles and Ron and his wife, there are 6 + 5 + 2 = 13 people in the book club.
There are 52 weeks in a year, so Ron gets to pick a new book 52 / 13 = 4 times a year.
 4",Extra quantity or Missing quantity
79,"Paul uses 1 can of frosting to frost a layer cake.  He uses a half can of frosting for a single cake, or a single pan of brownies, or a dozen cupcakes.  For Saturday, he needs to have 3 layer cakes, 6 dozen cupcakes, 12 single cakes and 18 pans of brownies ready and frosted for customer pick up.  How many cans of frosting will he need?","He needs 1 can of frosting per layer cake and he needs to make 3 layer cakes so that's 1*3 = 3 cans of frosting
There are 6 dozen cupcakes,12 single cakes and 18 pans of brownies for a total of 6+12+18 = 36 orders
Each of the 36 orders needs 1/2 can of frosting so they need 36*.5 = 18 cans of frosting
He needs 3 cans of frosting for the layer cakes and 18 cans for the remaining items for a total of 3+18 = 21 cans of frosting
 21",Extra quantity or Missing quantity
